read_id	rq	qv	read_length	iden
m84011_220902_175841_s1/258086594/ccs	0.999572	33.6856	20507	99.59
m84011_220902_175841_s1/205851872/ccs	0.999027	30.1189	18802	99.97
m84011_220902_175841_s1/161614201/ccs	0.99995	43.0103	14747	99.54
m84011_220902_175841_s1/222628102/ccs	0.999157	30.7417	18841	99.45
m84011_220902_175841_s1/131928829/ccs	0.999919	40.9151	14199	99.50
m84011_220902_175841_s1/45487719/ccs	0.999216	31.0568	16175	99.52
m84011_220902_175841_s1/238425653/ccs	0.999922	41.0791	15933	99.97
m84011_220902_175841_s1/62981328/ccs	0.999885	39.393	12485	99.62
m84011_220902_175841_s1/31723148/ccs	0.999886	39.431	15405	99.62
m84011_220902_175841_s1/187827393/ccs	1	60	5890	99.95
m84011_220902_175841_s1/187958218/ccs	0.996591	24.6737	12972	99.65
m84011_220902_175841_s1/248250952/ccs	0.999945	42.5964	14661	99.97
m84011_220902_175841_s1/38994878/ccs	0.99754	26.0906	17747	99.50
m84011_220902_175841_s1/126947459/ccs	0.998993	29.9697	8810	99.97
m84011_220902_175841_s1/181275244/ccs	0.999698	35.1999	18686	99.66
m84011_220902_175841_s1/245109355/ccs	0.998958	29.8213	22633	99.98
m84011_220902_175841_s1/46207957/ccs	0.999993	51.549	10795	99.97
m84011_220902_175841_s1/46532433/ccs	0.999678	34.9214	12355	99.96
m84011_220902_175841_s1/95751154/ccs	0.99982	37.4473	16675	99.67
m84011_220902_175841_s1/1379566/ccs	0.99396	22.1896	10411	99.62
m84011_220902_175841_s1/32707744/ccs	0.997561	26.1279	14925	99.48
m84011_220902_175841_s1/180225943/ccs	0.999732	35.7187	25195	99.64
m84011_220902_175841_s1/237244448/ccs	0.993092	21.6065	8839	99.97
m84011_220902_175841_s1/164629432/ccs	0.999441	32.5259	13343	99.57
m84011_220902_175841_s1/12126126/ccs	0.996206	24.209	27274	99.29
m84011_220902_175841_s1/263455031/ccs	0.998529	28.3239	13113	99.75
m84011_220902_175841_s1/242879523/ccs	0.999967	44.8149	11391	99.75
m84011_220902_175841_s1/185863259/ccs	0.999797	36.925	14091	99.72
m84011_220902_175841_s1/72288702/ccs	0.998235	27.5326	14192	99.94
m84011_220902_175841_s1/39064315/ccs	0.999945	42.5964	14049	99.98
m84011_220902_175841_s1/87954420/ccs	0.998083	27.1738	11217	99.68
m84011_220902_175841_s1/80745719/ccs	0.999973	45.6864	13319	99.53
m84011_220902_175841_s1/201463526/ccs	0.998437	28.0604	16491	99.71
m84011_220902_175841_s1/111285781/ccs	0.999914	40.655	14228	99.51
m84011_220902_175841_s1/124847793/ccs	0.999784	36.6555	21959	100.00
m84011_220902_175841_s1/185537889/ccs	0.999806	37.122	20092	99.43
m84011_220902_175841_s1/129371113/ccs	0.999895	39.7881	15862	99.72
m84011_220902_175841_s1/79107426/ccs	1	60	4138	100.00
m84011_220902_175841_s1/79891857/ccs	0.999935	41.8709	15430	99.76
m84011_220902_175841_s1/180619639/ccs	0.995351	23.3264	15836	99.75
m84011_220902_175841_s1/134223244/ccs	0.999988	49.2082	6856	99.81
m84011_220902_175841_s1/90050807/ccs	0.999209	31.0182	20350	99.99
m84011_220902_175841_s1/179966865/ccs	0.999277	31.4086	14296	100.00
m84011_220902_175841_s1/236847889/ccs	0.999954	43.3724	8095	100.00
m84011_220902_175841_s1/14815042/ccs	0.999882	39.2812	15820	99.99
m84011_220902_175841_s1/102697395/ccs	0.999459	32.668	15580	99.74
m84011_220902_175841_s1/114038066/ccs	0.999473	32.7819	15083	99.75
m84011_220902_175841_s1/247731971/ccs	0.999828	37.6447	18871	99.69
m84011_220902_175841_s1/173215064/ccs	0.999953	43.279	12334	99.55
m84011_220902_175841_s1/34213441/ccs	0.999981	47.2125	6436	99.81
m84011_220902_175841_s1/188945186/ccs	0.999911	40.5061	9479	99.99
m84011_220902_175841_s1/98764052/ccs	0.997759	26.4956	12173	99.49
m84011_220902_175841_s1/104728052/ccs	0.999914	40.655	4741	100.00
m84011_220902_175841_s1/156438988/ccs	0.999801	37.0115	16722	99.68
m84011_220902_175841_s1/23664123/ccs	0.999856	38.4164	15302	99.75
m84011_220902_175841_s1/199628674/ccs	0.999911	40.5061	20389	100.00
m84011_220902_175841_s1/105710963/ccs	0.999818	37.3993	9560	99.74
m84011_220902_175841_s1/192087593/ccs	0.997027	25.2681	22273	99.59
m84011_220902_175841_s1/104994714/ccs	0.999572	33.6856	16661	99.68
m84011_220902_175841_s1/258868712/ccs	0.999539	33.363	21979	99.65
m84011_220902_175841_s1/234162918/ccs	0.999707	35.3313	16019	99.99
m84011_220902_175841_s1/208930072/ccs	0.999712	35.4061	16208	99.99
m84011_220902_175841_s1/185010148/ccs	0.99541	23.3819	21107	99.94
m84011_220902_175841_s1/6357899/ccs	0.999769	36.3639	15992	99.99
m84011_220902_175841_s1/228330620/ccs	0.999845	38.0967	7491	99.77
m84011_220902_175841_s1/245039246/ccs	0.998576	28.4649	12632	99.67
m84011_220902_175841_s1/85528504/ccs	0.999164	30.7779	10427	99.95
m84011_220902_175841_s1/194253364/ccs	0.999677	34.908	17548	99.63
m84011_220902_175841_s1/133174202/ccs	0.99908	30.3621	12587	99.98
m84011_220902_175841_s1/41091793/ccs	0.99964	34.437	20548	99.34
m84011_220902_175841_s1/71501215/ccs	0.999792	36.8194	16297	99.67
m84011_220902_175841_s1/164566946/ccs	0.999159	30.752	27961	99.62
m84011_220902_175841_s1/64819449/ccs	0.999532	33.2975	16457	99.70
m84011_220902_175841_s1/140120379/ccs	0.999853	38.3268	13950	99.48
m84011_220902_175841_s1/266014823/ccs	0.998902	29.594	14212	99.73
m84011_220902_175841_s1/31589400/ccs	0.998007	27.0049	17623	99.64
m84011_220902_175841_s1/122159644/ccs	0.999514	33.1336	4251	100.00
m84011_220902_175841_s1/172952693/ccs	0.999125	30.5799	13968	99.66
m84011_220902_175841_s1/97060870/ccs	0.999595	33.9254	13586	99.99
m84011_220902_175841_s1/86049035/ccs	0.999922	41.0791	16430	99.32
m84011_220902_175841_s1/239798208/ccs	0.995524	23.4911	13149	99.99
m84011_220902_175841_s1/164433762/ccs	0.998245	27.5572	5702	99.46
m84011_220902_175841_s1/221385218/ccs	0.999969	45.0864	6524	99.98
m84011_220902_175841_s1/102897219/ccs	0.999929	41.4874	16498	99.99
m84011_220902_175841_s1/247531578/ccs	0.997237	25.5862	11630	99.95
m84011_220902_175841_s1/219091032/ccs	0.997758	26.4936	7884	99.99
m84011_220902_175841_s1/79890624/ccs	0.999785	36.6756	13180	99.63
m84011_220902_175841_s1/131728088/ccs	0.997507	26.0328	31043	99.95
m84011_220902_175841_s1/215880721/ccs	0.999938	42.0761	15461	99.64
m84011_220902_175841_s1/38405679/ccs	0.999637	34.4009	13395	99.99
m84011_220902_175841_s1/169805321/ccs	0.999736	35.784	15252	99.99
m84011_220902_175841_s1/175508251/ccs	0.999999	60	7012	99.99
m84011_220902_175841_s1/197790358/ccs	0.996088	24.076	14716	99.51
m84011_220902_175841_s1/173146130/ccs	0.999716	35.4668	8968	99.69
m84011_220902_175841_s1/209650513/ccs	1	60	5606	99.98
m84011_220902_175841_s1/240386458/ccs	0.999901	40.0436	12573	99.62
m84011_220902_175841_s1/105582957/ccs	0.999426	32.4109	11315	99.99
m84011_220902_175841_s1/207754346/ccs	0.999923	41.1351	13510	99.99
m84011_220902_175841_s1/157811487/ccs	0.999831	37.7211	9875	99.99
m84011_220902_175841_s1/254611907/ccs	0.997791	26.558	17658	99.99
m84011_220902_175841_s1/126817042/ccs	0.999524	33.2239	14518	99.97
m84011_220902_175841_s1/86575581/ccs	0.999731	35.7025	14891	99.99
m84011_220902_175841_s1/253036872/ccs	0.999888	39.5078	11703	99.60
m84011_220902_175841_s1/253429730/ccs	0.999821	37.4715	20849	100.00
m84011_220902_175841_s1/41289854/ccs	0.999174	30.8302	24245	100.00
m84011_220902_175841_s1/243142540/ccs	0.998292	27.6751	14631	99.99
m84011_220902_175841_s1/5767904/ccs	0.999843	38.041	18733	99.98
m84011_220902_175841_s1/141100765/ccs	0.999936	41.9382	12982	100.00
m84011_220902_175841_s1/33489312/ccs	0.999905	40.2228	9635	99.52
m84011_220902_175841_s1/95748296/ccs	0.999971	45.376	12917	99.99
m84011_220902_175841_s1/238291334/ccs	0.999789	36.7572	5879	100.00
m84011_220902_175841_s1/64356694/ccs	0.99935	31.8709	17115	100.00
m84011_220902_175841_s1/247140108/ccs	0.999851	38.2681	14411	99.99
m84011_220902_175841_s1/138871119/ccs	0.999972	45.5284	12704	100.00
m84011_220902_175841_s1/59966724/ccs	0.999387	32.1254	18338	99.98
m84011_220902_175841_s1/261424468/ccs	0.999675	34.8812	14990	99.99
m84011_220902_175841_s1/36110644/ccs	0.999821	37.4715	7110	99.48
m84011_220902_175841_s1/38929719/ccs	0.999877	39.1009	10150	99.48
m84011_220902_175841_s1/21302464/ccs	0.998145	27.3166	14952	99.99
m84011_220902_175841_s1/75697245/ccs	0.999557	33.536	13674	100.00
m84011_220902_175841_s1/233375771/ccs	0.998767	29.0904	12472	99.99
m84011_220902_175841_s1/190254966/ccs	0.998825	29.2996	11227	100.00
m84011_220902_175841_s1/68552907/ccs	0.999906	40.2687	17611	99.99
m84011_220902_175841_s1/18809090/ccs	0.999727	35.6384	10973	99.99
m84011_220902_175841_s1/186324790/ccs	0.999927	41.3668	13286	100.00
m84011_220902_175841_s1/61868153/ccs	0.999935	41.8709	12218	99.98
m84011_220902_175841_s1/191238548/ccs	0.997365	25.7922	13379	99.99
m84011_220902_175841_s1/43717491/ccs	0.999987	48.8606	11616	99.99
m84011_220902_175841_s1/157750330/ccs	0.99999	50	5645	100.00
m84011_220902_175841_s1/126357609/ccs	0.999944	42.5181	6756	99.99
m84011_220902_175841_s1/163711192/ccs	0.994245	22.3995	26667	99.34
m84011_220902_175841_s1/234622883/ccs	0.993309	21.7451	14411	98.88
m84011_220902_175841_s1/209194359/ccs	0.993591	21.9321	11249	98.55
m84011_220902_175841_s1/57804985/ccs	0.999988	49.2082	7192	98.72
m84011_220902_175841_s1/179635570/ccs	0.993793	22.0712	9110	98.86
m84011_220902_175841_s1/56889963/ccs	0.997088	25.3581	14704	99.90
m84011_220902_175841_s1/162927552/ccs	0.993693	22.0018	15312	99.77
m84011_220902_175841_s1/179897034/ccs	0.999818	37.3993	14330	99.97
m84011_220902_175841_s1/93194653/ccs	0.998806	29.23	8129	99.98
m84011_220902_175841_s1/34671203/ccs	0.999605	34.034	13311	99.34
m84011_220902_175841_s1/31589621/ccs	0.999534	33.3161	21828	100.00
m84011_220902_175841_s1/163845009/ccs	0.999993	51.549	12985	100.00
m84011_220902_175841_s1/182261095/ccs	0.998782	29.1435	24960	99.99
m84011_220902_175841_s1/126550857/ccs	0.997496	26.0137	9205	100.00
m84011_220902_175841_s1/235016586/ccs	0.999089	30.4048	17588	100.00
m84011_220902_175841_s1/96405878/ccs	0.994961	22.9766	19390	99.92
m84011_220902_175841_s1/57415656/ccs	0.992999	21.5484	18349	99.84
m84011_220902_175841_s1/47121393/ccs	0.999916	40.7572	16793	100.00
m84011_220902_175841_s1/108137428/ccs	0.999026	30.1144	16760	99.99
m84011_220902_175841_s1/93782397/ccs	0.999915	40.7058	15013	100.00
m84011_220902_175841_s1/239536124/ccs	0.99285	21.4569	14072	99.95
