read_id	rq	qv	read_length	iden
m21038_250911_051612/111744579/ccs	0.999998	56.9897	3780	99.89
m21038_250911_051612/38865835/ccs	0.999387	32.1254	14142	99.81
m21038_250911_051612/192875461/ccs	0.999995	53.0103	4668	99.89
m21038_251024_072723/120196840/ccs	0.999937	42.0066	4001	99.83
m21038_250911_051612/253298773/ccs	0.999938	42.0761	6620	99.83
m21038_251024_072723/80742079/ccs	0.999525	33.2331	20985	99.87
m21038_250911_051612/120785898/ccs	0.999141	30.6601	4674	99.96
m21038_251024_072723/155519459/ccs	0.99099	20.4528	10748	99.81
m21038_251024_072723/135729263/ccs	0.996434	24.4782	26514	99.85
m21038_251024_072723/23074711/ccs	0.997554	26.1154	36250	99.85
m21038_250911_051612/71043254/ccs	0.999927	41.3668	12183	99.95
m21038_250911_051612/247595561/ccs	0.99801	27.0115	20306	99.94
m21038_250911_051612/87036107/ccs	0.999968	44.9485	5023	99.82
m21038_251024_072723/194183309/ccs	0.999937	42.0066	5789	99.97
m21038_251024_072723/92471598/ccs	0.998844	29.3704	12338	99.95
m21038_251024_072723/206438970/ccs	0.999932	41.6749	15651	99.84
m21038_251024_072723/236323191/ccs	0.994789	22.8308	19494	99.84
m21038_251024_072723/148310785/ccs	0.998921	29.6698	12561	99.81
m21038_251024_072723/46727380/ccs	0.999992	50.9691	10211	99.79
m21038_250911_051612/252642064/ccs	0.999999	60	6932	99.94
m21038_250911_051612/58790366/ccs	0.999969	45.0864	5365	99.76
m21038_250911_051612/11473922/ccs	0.998944	29.7634	6985	99.96
m21038_251024_072723/41682199/ccs	0.999714	35.4363	21383	99.86
m21038_250911_051612/40173892/ccs	0.99994	42.2185	5235	99.98
m21038_250911_051612/194120545/ccs	0.999983	47.6955	5280	99.98
m21038_250911_051612/33624435/ccs	0.999965	44.5593	11274	99.80
m21038_250911_051612/36180838/ccs	0.999503	33.0364	9815	99.76
m21038_250911_051612/223610886/ccs	0.999849	38.2102	6440	99.75
m21038_250911_051612/166270781/ccs	0.999949	42.9243	4188	99.98
m21038_251024_072723/199624738/ccs	0.997562	26.1297	19333	99.84
m21038_251024_072723/18943942/ccs	0.999791	36.7985	6732	99.75
m21038_250911_051612/179571334/ccs	0.999002	30.0087	2587	99.73
m21038_250911_051612/125178396/ccs	0.999836	37.8516	6408	99.97
m21038_250911_051612/171184628/ccs	0.999683	34.9894	16998	99.92
m21038_251024_072723/93983880/ccs	0.995294	23.2735	21246	99.86
m21038_250911_051612/258804057/ccs	0.999773	36.4397	15823	99.87
m21038_250911_051612/88215819/ccs	0.991709	20.8139	3162	99.68
m21038_251024_072723/156173426/ccs	0.999575	33.7161	22100	99.90
m21038_251024_072723/55776657/ccs	0.997086	25.3551	5908	99.83
m21038_250911_051612/158994277/ccs	0.999241	31.1976	3800	99.79
m21038_250911_051612/94899860/ccs	0.999995	53.0103	8249	99.85
m21038_250911_051612/163057523/ccs	0.996091	24.0793	24795	99.84
m21038_250911_051612/158732406/ccs	0.999777	36.517	4706	99.94
m21038_250911_051612/78188810/ccs	0.999941	42.2915	12761	99.89
m21038_251024_072723/24384133/ccs	0.999711	35.391	14910	99.90
m21038_251024_072723/18547185/ccs	0.999963	44.318	11111	99.98
m21038_251024_072723/162201873/ccs	0.999842	38.0134	12010	99.92
m21038_250911_051612/40113100/ccs	0.999941	42.2915	10774	99.92
m21038_251024_072723/115871273/ccs	0.99995	43.0103	11106	99.97
m21038_251024_072723/216204142/ccs	0.999932	41.6749	14373	99.92
m21038_251024_072723/12845959/ccs	0.998925	29.6859	21895	99.91
m21038_251024_072723/126293583/ccs	0.99981	37.2125	14313	99.91
m21038_251024_072723/84675516/ccs	0.999982	47.4473	4783	99.96
m21038_250911_051612/168497411/ccs	0.998098	27.2079	6431	99.97
m21038_251024_072723/121307783/ccs	0.999691	35.1004	5062	99.90
m21038_250911_051612/117313422/ccs	0.999766	36.3078	10011	99.97
m21038_250911_051612/146018696/ccs	0.999608	34.0671	4690	99.91
m21038_251024_072723/122424507/ccs	0.999985	48.2391	7326	99.92
m21038_251024_072723/115934450/ccs	0.998043	27.0841	14594	99.90
